"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bosnia y Herzegovina","BIH","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3520537842807","0.0261402378859229","0.0589130965817025","0.0333477803506421","0.0077643577269471","0.000682464036368725","0","0","0","0","0.000112324902531252","0.0345252085585058","8.10871811688544E-05","0.0404998505817266","0.0452724395800168","","",
"Belarús","BLR","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.40677966101695","17.3030707610147","9.83156476334849","5.87822193936335","5.41126095441019","7.67465037389915","7.43910309574452","6.67686034071886","5.41266823931781","6.13463060321823","7.5223908902049","8.90413276285585","6.95615702380092","7.65406688119525","7.02472937601199","16.9002858367694","21.0241347134791","16.4481143807248","11.1744632237682","17.5670409656775","16.0193930552237","12.1096264457318","8.34062244997476","14.1143339316776","11.3025784494019","10.1766238801167","13.262694905306","10.8815769439121","","",
"Belice","BLZ","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.8208595401958","49.7933565338591","46.6172774910616","48.8049188960198","48.8077949713475","52.6023166614938","29.1714556907412","32.0169832763964","30.80762109017","30.2961853109405","32.0823865516557","36.3708745007358","39.6383559010465","36.7192469861366","36.2909930617721","28.6299810384271","27.5337078561175","23.1206822048037","20.5012240211154","23.3912513487257","20.8600772393868","23.6938441386","23.4187404948452","20.6079630460264","22.5596085838108","25.0391770983553","15.9070141997608","14.2321781155414","","","","",
"Bermudas","BMU","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","20.5591397849462","12.3963679431504","15.2715220531996","9.78797358359402","8.64508736751647","6.38821719059134","5.38758084557301","6.09540636042403","4.70219435736677","5.6583589820584","6.03082652322334","5.01379822745847","5.98468326824568","6.19850354072952","5.00635297548376","5.0930508325085","4.44604623283906","3.90069320697472","3.22303739886434","3.10622185115065","3.22882901492821","2.09976063258368","3.34222124340069","","","","","","","","","","","","","","",
"Brasil","BRA","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.87041235368038","2.09200556286916","2.17837815491057","2.4200383390799","2.3240077925091","2.22120443489956","1.69003352934942","1.76424952860699","2.0321836694587","1.98995488972902","","",
"Barbados","BRB","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.11769212248561","9.91013731825525","9.46695473487838","8.13005823553368","8.56962843719305","8.38877349186412","7.32777556528052","8.39279584407183","7.7374407515748","8.36324130695416","8.42935406201342","9.4009030688617","9.15021772465383","8.57394190436627","","","","","",
"Brunei Darussalam","BRN","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhután","BTN","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","0.120578778135048","","0.483153210425938","0.413950119010659","0.367416435164441","","0.255464093102469","0.36664180959483","0.218957479870038","0.375918107686079","0.554148195060165","0.488714792016415","1.01699407029516","1.15868028279654","0.691562932226833","1.0501546908362","1.06522320016131","0.986360709477258","0.905215582547957","1.09864419641203","1.21489341446878","1.6524060253051","1.48301924595696","2.31100637741967","1.2885877287793","1.01928180587697","0.832365634901812","0.988474265165795","0.673453894531151","1.01647002584153","1.16596918332964","0.936627575492299","3.62438968983217","5.00974434475077","4.15559280407351","4.5233232525562","4.17931745460525","","","",
"Botswana","BWA","Impuestos al comercio internacional (% de la recaudación)","GC.TAX.INTT.RV.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.9370487602479","18.9248913718187","21.8754790530627","15.6192499573193","16.1617536932398","15.3622598200733","12.2621766902381","","","","","","","","","","24.1582062782891","27.4587693536969","25.542825152225","26.510235799395","19.4992747801255","21.9532791538898","34.1859512844604","26.9460417062935","28.1010780996662","32.5813822967567","20.5415722003821","31.7160293950495","27.683848997936","25.7665228567452","","",
