Paises,IDH,Recaudacion_impositiva,Impuestos_sobre_la_renta,Impuestos_Comercio_Internacional
LA-BANO,"0,744",13.4283109994615,21.6605036801998,Medio alto
LESOTO,"0,527",33.7691819981944,23.7822927547847,Alto
LETONIA,"0,866",22.3698772723205,9.24678229137191,Bajo
LITUANIA,"0,882",16.6948626853888,16.1650157464668,Bajo
LUXEMBURGO,"0,916",23.2234889745364,30.1091424135152,Bajo
MA(C)XICO,"0,779",12.7823935220231,34.7222831247457,Medio bajo
MACEDONIA DEL NORTE,"0,774",16.8182331222247,16.1567344313807,Medio bajo
MADAGASCAR,"0,528",8.945310373524,19.2251954459702,Alto
MALA-,"0,434",14.0951093886952,23.6197045701178,Alto
MALASIA,"0,810",14.0568621293393,46.3551342148625,Medio bajo
MALAUI,"0,483",15.2421953659732,38.7358636434334,Medio alto
MALTA,"0,895",24.3383575630218,32.2838386138638,Bajo
MARRUECOS,"0,686",21.2114989855756,30.3225565367231,Medio bajo
MAURICIO,"0,804",8.99395695949919,19.2143216774114,Medio bajo
MONGOLIA,"0,737",11.8941379230625,12.6868560411855,Medio alto
MOZAMBIQUE,"0,456",20.3300885126533,33.115377353823,Medio alto
NAMIBIA,"0,646",33.4223868666157,36.3965917216649,Alto
NEPAL,"0,602",14.6863045680746,19.147869935215,Alto
NICARAGUA,"0,660",15.5895883603149,33.7593294861672,Medio alto
NORUEGA,"0,957",22.2235507693574,22.2491104705795,Bajo
NUEVA ZELANDA,"0,931",27.4178350434714,51.5551333809791,Medio bajo
PAA-SES BAJOS,"0,944",21.1606242246467,26.7353201781239,Bajo
PALAOS,"0,826",20.1648148845479,7.95975819038103,Alto
PANAMA!,"0,815",10.1016222257678,31.2311611685789,Medio alto
PARAGUAY,"0,728",9.73669860034862,11.6509717608084,Medio alto
PERAº,"0,777",14.9196513179116,28.8238265815629,Medio bajo
POLONIA,"0,880",15.6868645592279,12.1484727483518,Bajo
PORTUGAL,"0,864",22.7887191054273,25.2793192746128,Bajo
REINO UNIDO,"0,932",24.8021405406746,32.7847126511556,Bajo
REPAºBLICA CENTROAFRICANA,"0,397",5.44899138512974,7.2596288170071,Alto
REPAºBLICA DOMINICANA,"0,756",12.8118479609538,20.9707323600633,Medio alto
SAMOA,"0,715",23.5741602276087,17.5355630863568,Medio alto
SAN VICENTE Y LAS GRANADINAS,"0,738",23.5940732895988,23.7185231241885,Alto
SANTA LUCA-A,"0,759",18.7102515975767,22.7014073117092,Alto
SENEGAL,"0,512",15.7743360472944,19.3566272931418,Alto
SERBIA,"0,806",22.3552132868459,13.5946929638914,Medio bajo
SEYCHELLES,"0,796",29.5985833970099,28.8431071731586,Medio alto
SRI LANKA,"0,782",12.3799519124394,17.9753835235791,Alto
SUDA!FRICA,"0,709",25.0486927031144,47.1416121489362,Medio bajo
SUDA!N,"0,510",8.19443800491008,5.6935988755922,Alto
SUECIA,"0,945",27.1368417099522,15.874090795084,Bajo
SUIZA,"0,955",9.44687261718764,22.5754961081412,Medio bajo
TAILANDIA,"0,777",16.1403979395083,31.6889082010818,Medio bajo
TOGO,"0,515",18.9542730571164,17.4272902674692,Alto
TRINIDAD Y TOBAGO,"0,796",26.5726634794791,36.6432613281676,Medio alto
TURQUA-A,"0,820",18.1807806755588,16.898657465265,Medio bajo
UCRANIA,"0,779",20.4513654211322,11.1490698972473,Medio alto
UGANDA,"0,544",10.8017708078399,29.6952196490838,Medio alto
URUGUAY,"0,817",18.5094775730046,18.7223747402994,Medio bajo
UZBEKISTA!N,"0,720",13.5577540324739,18.6295079769257,Alto
VANUATU,"0,609",16.9067087638249,0,Alto
ZAMBIA,"0,584",14.3939639330138,33.589804130946,Medio alto
ZIMBABUE,"0,571",17.6733631953313,34.1778062007728,Medio alto
